playerID,year,stint,tmID,lgID,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgRatio,ftRatio,threeRatio,dq,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PostDQ
turneba01w,8,0,HOU,WNBA,22,2,263,92,9,33,42,20,8,4,21,25,0.4,0.66,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
turneba01w,9,0,CON,WNBA,34,6,663,273,23,85,108,52,12,14,40,62,0.42,0.78,0.37,0,3,0,57,16,3,7,10,1,0,1,3,6,22,5,2,2,14,4,0
turneba01w,10,0,CON,WNBA,7,0,144,28,4,11,15,14,5,0,4,12,0.21,0.8,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tuvicsl01w,2,0,PHO,WNBA,30,0,325,54,18,45,63,17,16,17,28,49,0.31,0.47,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tuvicsl01w,3,0,PHO,WNBA,26,1,320,86,11,52,63,11,9,9,31,53,0.39,0.78,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tuvicsl01w,4,0,PHO,WNBA,17,14,365,127,31,36,67,12,10,15,32,61,0.39,0.8,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tuvicsl01w,5,0,PHO,WNBA,33,26,691,91,25,98,123,32,25,37,41,115,0.37,0.71,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
udokamf01w,4,0,HOU,WNBA,25,3,251,80,22,29,51,4,4,2,21,38,0.5,0.7,0.0,0,1,0,6,1,0,1,1,0,0,0,2,2,0,0,2,1,0,0,0
udokamf01w,5,0,LAS,WNBA,3,0,19,1,2,1,3,0,0,0,1,5,0.0,0.25,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ujhelpe01w,4,0,DET,WNBA,14,0,68,4,3,9,12,3,0,1,10,8,0.25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
umoh-it01w,4,0,HOU,WNBA,3,0,6,0,0,0,0,1,0,0,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
valdeam01w,1,0,HOU,WNBA,22,0,171,57,3,18,21,13,8,4,13,21,0.33,1.0,0.38,0,3,0,16,9,1,3,4,0,1,0,0,0,5,2,4,4,3,1,0
vangomi01w,1,0,POR,WNBA,28,1,199,69,16,26,42,5,3,4,30,37,0.5,0.54,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vangomi01w,2,0,MIN,WNBA,22,8,243,41,15,19,34,12,3,6,18,36,0.38,0.55,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vangomi01w,3,0,MIN,WNBA,22,13,352,100,29,35,64,14,6,11,20,53,0.46,0.73,0.29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vangomi01w,4,0,MIN,WNBA,31,1,528,175,32,75,107,17,10,20,56,87,0.43,0.67,0.0,2,3,0,31,9,0,1,1,3,1,3,4,11,7,2,8,5,0,0,0
vangomi01w,5,0,MIN,WNBA,8,0,66,22,6,7,13,1,0,1,7,8,0.47,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vaughki01w,10,0,NYL,WNBA,34,1,396,163,35,53,88,8,6,3,32,57,0.49,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vaughkr01w,9,0,WAS,WNBA,15,0,78,12,4,11,15,0,2,2,10,6,0.16,0.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vealkr01w,2,0,PHO,WNBA,29,14,658,116,14,46,60,125,33,4,82,58,0.28,0.76,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vealkr01w,3,0,PHO,WNBA,23,10,361,71,6,21,27,41,14,2,42,41,0.3,0.77,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vilipda01w,7,0,LAS,WNBA,2,0,12,0,0,2,2,0,0,1,1,2,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vodicka01w,1,0,SEA,WNBA,23,19,489,200,28,69,97,22,13,12,57,63,0.4,0.77,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vodicka01w,2,0,SEA,WNBA,29,4,405,150,25,46,71,23,16,7,34,56,0.42,0.86,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
